"albite","blandite","cornite","daubite","endite","depth","porosity"
44.2,31.9,5.4,10.5,8,1,21.8
49,25.4,5.8,11.3,8.5,2,25.2
50.2,24.8,5.7,11.1,8.2,3,26.1
49.9,24.7,5.4,11.4,8.6,4,26.3
48.5,27.8,5.9,10.2,7.6,5,22.6
45.9,27.1,6.9,11.5,8.6,6,21.4
44.1,31.9,6,10.2,7.8,7,22
46.4,29.9,5.5,10.3,7.9,8,22
45.7,27,6.2,12,9.1,9,23.1
46.4,30,5.1,10.4,8.1,10,24
41.7,30.2,7.7,11.6,8.8,11,18.4
44.9,25.7,7.7,12.4,9.3,12,20.5
48.6,27.7,5.8,10.2,7.7,13,22.9
49.7,26.7,4.9,10.6,8.1,14,27.2
49.6,24.4,6.4,11.2,8.4,15,23.4
46.5,28.6,5.9,10.7,8.3,16,22.5
47.3,24.2,7.9,11.8,8.8,17,21.6
44.7,30,6.8,10.5,8,18,20.5
48,25.6,7,11.1,8.3,19,22.7
50,23.8,6.6,11.2,8.4,20,23.7
51.4,24.2,5.7,10.7,8,21,26.2
53.3,25.1,5.2,9.4,7,22,26.4
47.9,25.4,6.7,11.4,8.6,23,22.2
43.5,29.8,6.7,11.2,8.8,24,19.5
44.5,29.2,6.5,11.2,8.6,25,21.3
